Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1000,10500,2038,27012,5762.84,16.500%,33.94664,20.56,7.20,620.3
TOTAL,1000,10500,2038,27012,5762.84,16.500%,33.94664,20.56,7.20,620.3
