Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1000,3875,3533,4782,275.46,0.000%,71.35212,18.19,17.42,261.0
TOTAL,1000,3875,3533,4782,275.46,0.000%,71.35212,18.19,17.42,261.0
