Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,500,3819,3528,4579,263.75,0.000%,36.19778,9.23,8.84,261.0
TOTAL,500,3819,3528,4579,263.75,0.000%,36.19778,9.23,8.84,261.0
