Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,500,3839,3539,4653,266.83,0.000%,35.67861,9.09,9.06,261.0
TOTAL,500,3839,3539,4653,266.83,0.000%,35.67861,9.09,9.06,261.0
