Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,300,3847,3538,4594,267.03,0.000%,31.98976,8.15,7.03,261.0
TOTAL,300,3847,3538,4594,267.03,0.000%,31.98976,8.15,7.03,261.0
