Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1000,9435,2,15085,5526.53,49.400%,49.99500,100.93,5.21,2067.2
TOTAL,1000,9435,2,15085,5526.53,49.400%,49.99500,100.93,5.21,2067.2
