Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,300,4378,3543,5042,402.30,0.000%,30.97254,107.47,6.44,3553.0
TOTAL,300,4378,3543,5042,402.30,0.000%,30.97254,107.47,6.44,3553.0
