Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,300,10588,9068,13071,1182.84,0.000%,20.69394,174.89,4.30,8654.0
TOTAL,300,10588,9068,13071,1182.84,0.000%,20.69394,174.89,4.30,8654.0
