Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1000,19091,2041,25335,3053.50,49.100%,39.01221,181.65,4.32,4767.9
TOTAL,1000,19091,2041,25335,3053.50,49.100%,39.01221,181.65,4.32,4767.9
