Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1000,11931,2037,17222,5028.66,49.100%,45.43183,113.07,4.76,2548.5
TOTAL,1000,11931,2037,17222,5028.66,49.100%,45.43183,113.07,4.76,2548.5
