Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,3869,3526,4605,313.56,0.000%,10.82017,37.54,2.25,3553.0
TOTAL,100,3869,3526,4605,313.56,0.000%,10.82017,37.54,2.25,3553.0
