Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,4017,3533,4661,338.09,0.000%,11.01200,93.06,2.29,8654.0
TOTAL,100,4017,3533,4661,338.09,0.000%,11.01200,93.06,2.29,8654.0
