Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1000,10953,2032,17073,5551.65,43.900%,45.36382,53.94,6.46,1217.7
TOTAL,1000,10953,2032,17073,5551.65,43.900%,45.36382,53.94,6.46,1217.7
