Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1000,9576,2043,17074,5992.03,39.300%,45.40295,49.51,6.73,1116.7
TOTAL,1000,9576,2043,17074,5992.03,39.300%,45.40295,49.51,6.73,1116.7
