Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1000,9913,2042,17085,6007.98,41.600%,45.39265,51.74,5.82,1167.2
TOTAL,1000,9913,2042,17085,6007.98,41.600%,45.39265,51.74,5.82,1167.2
