Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,500,13940,10061,17465,1665.03,0.000%,27.88156,189.34,5.75,6954.0
TOTAL,500,13940,10061,17465,1665.03,0.000%,27.88156,189.34,5.75,6954.0
