Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,500,8339,6569,10700,966.70,0.000%,42.36570,147.00,8.73,3553.0
TOTAL,500,8339,6569,10700,966.70,0.000%,42.36570,147.00,8.73,3553.0
