Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1000,15970,2,18835,1637.37,49.100%,50.00750,248.77,5.24,5094.1
TOTAL,1000,15970,2,18835,1637.37,49.100%,50.00750,248.77,5.24,5094.1
