Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1000,9737,3,15028,5212.69,49.500%,49.99750,100.95,5.20,2067.6
TOTAL,1000,9737,3,15028,5212.69,49.500%,49.99750,100.95,5.20,2067.6
