Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1000,10533,2029,17082,4771.08,20.500%,37.00825,252.34,6.21,6982.1
TOTAL,1000,10533,2029,17082,4771.08,20.500%,37.00825,252.34,6.21,6982.1
