Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,501,3808,2138,5397,948.07,0.000%,8.15390,64.93,1.72,8154.0
TOTAL,501,3808,2138,5397,948.07,0.000%,8.15390,64.93,1.72,8154.0
