Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1000,6556,2121,10986,2572.11,0.000%,47.75321,564.78,10.49,12111.0
TOTAL,1000,6556,2121,10986,2572.11,0.000%,47.75321,564.78,10.49,12111.0
