Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,500,2120,2093,2156,10.09,0.000%,41.41816,489.86,9.10,12111.0
TOTAL,500,2120,2093,2156,10.09,0.000%,41.41816,489.86,9.10,12111.0
