Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,500,3874,3546,4622,286.98,0.000%,53.27651,13.58,11.60,261.0
TOTAL,500,3874,3546,4622,286.98,0.000%,53.27651,13.58,11.60,261.0
