Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,500,5180,3552,13619,1525.84,0.000%,28.58776,53.13,5.89,1903.0
TOTAL,500,5180,3552,13619,1525.84,0.000%,28.58776,53.13,5.89,1903.0
