Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,500,3827,3528,4575,263.82,0.000%,35.60746,9.08,8.80,261.0
TOTAL,500,3827,3528,4575,263.82,0.000%,35.60746,9.08,8.80,261.0
