Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1000,3861,3527,4774,281.96,0.000%,69.28566,17.66,17.66,261.0
TOTAL,1000,3861,3527,4774,281.96,0.000%,69.28566,17.66,17.66,261.0
