Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,500,3839,3530,4583,266.42,0.000%,35.87573,9.14,9.14,261.0
TOTAL,500,3839,3530,4583,266.42,0.000%,35.87573,9.14,9.14,261.0
