Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1000,3859,3534,4618,271.53,0.000%,70.82153,18.05,17.50,261.0
TOTAL,1000,3859,3534,4618,271.53,0.000%,70.82153,18.05,17.50,261.0
