Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,3855,3529,4586,277.48,0.000%,11.31606,21.03,2.35,1903.0
TOTAL,100,3855,3529,4586,277.48,0.000%,11.31606,21.03,2.35,1903.0
