Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,3845,3531,4556,266.62,0.000%,11.13214,2.84,2.50,261.0
TOTAL,100,3845,3531,4556,266.62,0.000%,11.13214,2.84,2.50,261.0
